"Data Source","World Development Indicators",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Bangladesh","BGD","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","427347708.333333","519448541.666667","546086875","531067354.166667","540135791.666667","570741562.5","662275583.333333","675028062.5","623451562.5","690047541.666667","747575145.833333","550621104.166667","356841000","528824097.159748","463095606.326889","563045020.279405","480166471.380471","679513484.162896","738155879.62963","950929356.110381","996555891.472868","1038984088.1273","940219560.878244","986784511.784512","642600000","1199576923.07692","1128533333.33333","1212483870.96774","1442788415.29524","1594548385.95317","1866929977.69423","2062577030.81232","2405649867.37401","2990714285.71429","3039700748.12968","4122014925.37313","4507555012.22494","5075480093.67682","5876850220.26432","6028722961.73045","6588073941.56231","7227575982.20904","6791241511.40519","6876856649.39551","7257329709.52947","9999571015.39225","11741089556.3444","13530265640.2252","16182047682.9643","17359427992.7925","18471882436.8538","25621279024.2428","26877564843.4222","29306607469.6236","32830579729.9485","33831931004.0501","36922447162.046","37655756192.841","40732047404.0872","45992932855.1263","39053880559.8514","44386125441.8587","59275206086.406","57551452000.7801","47087839406.5916",
"Bulgaria","BGR","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","7084153846.15385","7081357142.85714","6631000000","6153111111.11111","7061055555.55556","7341684210.52632","8106529411.76471","11461076923.0769","10277764705.8824","10207166666.6667","6833181818.18182","3316842815.38116","4052954029.39034","4138580850.90962","4373776185.02235","6141757603.7278","5962695838.41609","5610104531.89558","6304226753.8762","5829830705.25048","4797546243.42113","4947372829.68708","5519181983.41338","7277448747.67848","10713332855.0596","12703010482.5958","16151246707.5876","23261999930.0234","28590187694.8689","21963850651.0309","25394223740.2125","33909798230.7328","32766248152.1632","36039694835.7285","36846181919.0697","32381760371.7978","34439814778.1557","39636715495.2756","43570441787.2329","44050873991.5812","39807550749.1845","52185365602.9387","63335730820.5503","63368608161.4535","62622308254.8143",
"Bahrain","BHR","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","3813478376.22712","4547340159.57447","4337766223.40425","3611169946.80851","3768351063.82979","3716489627.65957","3013031914.89362","3472340425.53191","3529787234.04255","3811169946.80851","4887765691.48936","3923935904.25532","4009042287.23404","4361702127.65957","4520478723.40425","4796010638.29787","5364361436.17021","5020744946.80851","3994946808.51064","5221808510.6383","7176063829.78723","6607446808.51064","6956117021.2766","7980851063.82979","10336702127.6596","13396808510.6383","15662234042.5532","17314361702.1277","21231382978.7234","15704787234.0426","17880319148.9362","28609308510.6383","31409042553.1915","34102925531.9149","32069148936.1702","25805319148.9362","23918617021.2766","26881914893.617","29959042553.1915","29564361702.1277","25249202127.6596","35234574468.0851","44581914893.617","40349468085.1064","",
"Bahamas, The","BHS","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","589300000","688100000","785000000","939800000","961200000","1038300000","1153500000","1297900000","1503600000","1577900000","1664300000","","1648320000","1714730000","1585170000","1562180000","1606810000","1662790000","1699040000","1733680000","2335400000","2368200000","2801300000","3072900000","2834100000","3212800000","3176400000","3460500000","3812500000","3895000000","4257100000","4157100000","3412900000","3528800000","3769900000","4087400000","4175100000","4161900000","4241600000","3903100000","3948900000","4519000000","4644400000","2411900000","3366900000","5163900000","5774300000","5982200000",
"Bosnia and Herzegovina","BIH","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","194000000","381000000","658000000","1022025932.26516","1124011006.6217","1295466214.90962","1218441300.88654","1280121565.11077","1286840345.11132","1749751115.45058","2288902820.48075","2728982617.39837","3378094597.29891","4276282415.0824","5131416810.71543","4405139247.28548","5100600105.63809","5972861400.33278","5572942366.69053","6134185102.89189","6307950241.79724","5760366704.24363","6146467330.90555","7390002149.41859","8600140616.84324","8201251111.85139","6913561098.91262","10078259875.6899","11851985074.1613","12121807226.7181","12136912441.2746",
"Belarus","BLR","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7991967871.48594","6134969325.15337","10127048425.7043","11004262912.6599","10641574224.5816","6939556172.25154","6839769230.76923","8458551617.87365","8988380663.34273","7186245487.36462","8815230365.90808","8246546762.58993","9286372925.64715","11614414484.6851","15709960838.0473","18064972931.8142","22199798560.0776","27592401028.8526","37020969855.8322","24865004206.8706","29401680706.1249","48462076576.5494","51745313006.0334","44057927601.759","43300691503.4086","32749844750.6246","29831676604.3599","36550879709.6994","42294886945.8699","41927532636.0335","37444144984.2698","49351137896.7375","46516126575.5303","47855354381.7647","49423786393.4111",
"Belize","BLZ","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","88973677","84972543","70947948.5","76516537.5","108649358","83652581","104359482","137936011","161076592","172914999.5","223500000","214500000","285500000","289500000","320500000","329000000","355000000","382500000","401000000","440500000","488000000","491000000","542500000","583000000","592000000","674000000","824000000","863000000","936000000","767000000","885500000","1039000000","1137500000","1140000000","1186500000","1131000000","1059500000","1128500000","1182500000","1238500000","770500000","1155500000","1516500000","1695725300","",
"Bermuda","BMU","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3370007000","3316640000","3221785000","3337183000","3281476000","3325330000","3403730000","3466748000","3719872000","3841155000","3246335000","3491937000","3960723000","4309464000","5056800000",
"Bolivia","BOL","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","60500000","66583333.3333333","67250000","81166666.6666667","109333333.333333","128416666.666667","140833333.333333","168333333.333333","168000000","187916666.666667","247666666.666667","232000000","271538461.538462","350200000","741600000","624050000","756500000","864550000","849600000","1090400000","1091560000","1344440000","1627718750","1533073275.86207","1459340561.22449","1024367625.77012","844299427.458873","853524498.13855","862854335.425884","1061009895.66751","1108688418.82968","1147697877.0086","1131356484.28144","1094224543.8131","1295730953.91706","1514364434.86735","1670369478.49412","1673170826.40403","1673894695.46379","1398593388.4889","1534686673.10742","1626035910.54648","1710308633.19386","2069153669.06088","2731911668.34677","3394535859.01026","4783631930.98222","5483635308.79498","7487843216.67967","6194300356.12536","8093221339.98948","10565767132.6439","12774727337.1925","13518462720.6946","14285068712.0116","10186598885.6729","8311504862.51809","9341206396.52677","10470274254.7033","10210442518.0897","7425817973.9508","11243140347.3227","14351785311.1433","11524078060.7815","",
"Brazil","BRA","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","1069822093.95372","1109152823.34559","770900519.674771","2080325261.99351","1354466134.88626","1685625122.1861","1846958711.61305","1764834054.99797","2032731102.64928","2479930321.58748","2975391707.00149","3155632739.4951","4249449495.7691","6557708237.89377","8424673828.03794","9325921437.05926","10741988183.0392","12776590678.7557","13404621904.9098","16026612550.3001","21276141967.6084","24828388398.9376","21435129573.2899","23221079048.8769","28317692073.148","27305943480.8901","23640555933.3822","27820190341.2553","35921688764.4272","36878468232.3992","31556066666.6667","29723863636.3636","35668919610.8551","38682712856.2845","49978798948.0716","57922124038.4584","57235482141.0805","61680024619.8487","60723187855.068","57355149556.2405","66777380518.3383","69279555096.2874","72546876638.2809","84744257516.308","110739032053.055","135919140236.363","159213742531.583","186202879575.236","229517035697.556","180891970353.521","240003137741.747","303016626325.823","292808395453.514","290364173324.942","270458130850.098","232488824444.589","223863343103.297","258330777006.501","280543266303.121","264562979421.068","242872071018.291","319251201403.084","383177602116.201","393731572887.926","392614111879.249",
